,"concentric_LIN_cars=0300(L)_t=1_levels[3]=(3-0, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(L)_t=1_levels[4]=(3-0, 3-60, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(R)_t=1_levels[3]=(3-0, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(R)_t=1_levels[4]=(3-0, 3-60, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10"
179,16564.42333764737,17008.102958063067,15935.796970132813,15769.877830989344
180,16599.285938633533,16607.266996890692,16250.942460159964,16145.928420174356
181,16634.33382658289,16697.007014110157,16173.878241853892,16178.80432794076
182,16347.117280420049,16425.643063363357,16309.647068282462,16221.597931603503
183,16620.570024343175,16870.667675416098,16256.434996373308,16107.493645991954
184,16442.651663330886,16863.930994826384,16170.689858244486,16030.618847286936
185,16226.664436394001,16338.189658132296,15787.83610567895,15614.811674996366
186,16437.503001888053,16306.65739279193,16277.24921698623,16028.981075378375
187,16598.238859454832,16696.123998948988,16213.416910028229,15934.794826127729
188,16523.08575300962,16914.076279068348,16376.884638072608,16192.541619792039
189,16267.527462188218,16763.48541471288,16572.777037052536,16521.165808979695
190,16548.79424347836,16772.603711377014,16197.899242465062,16063.24074122774
191,16252.927836966111,16657.095581463334,16057.776426550543,15923.937739307908
192,16282.942590315171,16904.92064819312,15452.778981095717,15342.158183053145
193,16334.856768221256,16834.076244006927,16058.710386007871,15735.91255276318
194,16591.819670712295,16858.683821916922,16653.83032012983,16343.580849159807
195,16624.002340857274,16644.725674283312,15724.262756346383,15457.585123652221
196,16432.106639942594,16364.020182174865,16310.382696870389,16283.326308634523
197,16324.036530075684,16401.059585441122,16387.155591806877,16380.77796473239
198,16416.30091524381,16264.059455291528,16561.95465650888,16364.337536886676
199,16423.884603171617,16278.552327695339,15875.73936860912,15672.759218788775
200,16597.195375169642,16612.304082393428,16384.940036901666,16246.025107428968
201,16646.525499888303,16503.631924520247,16432.648179747946,16332.331326658421
202,16767.877682510258,16704.759238686664,16423.83801295618,16071.484908720297
203,16410.438244903708,16524.26251573998,16529.746023732198,16393.169919472497
204,16604.867641642435,16542.26496293285,15837.273219980085,15748.943370293813
205,16535.929335526303,16750.61161261582,16234.449276856216,16052.964970279872
206,16159.059754000411,16953.91637900215,16089.975983616292,15781.797629783807
207,16228.635255804302,16801.832799124757,16260.8035561864,16083.583244358959
208,16380.756197079107,16699.03400226216,16368.719988785833,16076.483853439326
209,16532.534821709738,16624.29868434304,16155.6401892569,16017.984969152736
210,16382.815766518068,16532.765785678686,16524.207974835885,16558.21887400611
211,16064.459786737178,16466.168244628992,16665.693916524207,16425.737636645248
212,16210.127327047896,16782.549104169877,16348.902515833084,16453.39195522318
213,16213.40924754283,16490.201703973384,16394.104400690077,16177.331639406744
214,16476.806843230217,16745.578623996993,16190.00141186895,16076.612775077025
215,16398.966154277474,16652.757219664898,16315.49244307722,15980.460291187343
216,15926.25217664534,16848.333568873313,16405.214726875674,16204.174800214223
217,16182.610570937597,16384.092231851722,16531.054466611182,16176.014962332723
218,16129.506908235433,16843.95959614428,16268.197035859688,16212.014985570126
219,16087.815229674034,16835.53025385622,16550.42475290222,16415.99508269707
220,16053.107168398199,16525.302278906453,16200.940845661698,16035.72038281775
221,15989.878822647453,16903.080686961643,16465.271294194416,16312.788314910718
222,16499.351158224716,16732.70292900241,16449.841504908236,16312.67814112323
223,15649.798933019743,16600.742671487696,15963.23566471664,15859.866765653202
224,16105.493349142866,16578.984024725905,16021.888290619074,15862.095903923197
225,16021.201458740701,16617.525760370307,16290.805746418982,16038.954788856976
226,16329.874029973449,16598.246510155364,16235.732877903689,16120.009040381026
227,16168.669527647156,16400.42142334744,16089.294140804284,15762.079440186633
228,16056.896862838305,16551.20713820136,16585.57502563083,16196.129503040092
229,16028.981595226276,16750.239441964084,16295.03190094424,16171.098181168943
230,16044.84787929181,16563.887044148814,16584.270020778884,16515.104642042726
231,16129.031790370982,16605.13784454289,15795.620344893168,15696.457026394723
232,16267.694402467687,17009.387701397933,15854.665575158435,15926.237010073344
233,16086.167023258391,16768.52022167645,16493.47040862706,16321.82994202281
234,16126.120690727626,16844.9155338406,16050.836717375505,16035.741664926021
235,15909.769686748778,16851.438100475887,16573.360555504398,16508.53887941439
236,16048.523689435264,16519.548151749997,16278.855144271143,15969.517283790037
237,16209.578397673276,17086.990210471784,15961.667462842091,15722.932136596133
238,16067.824904361845,16646.13872857381,16367.34365277153,16280.422192868416
239,16007.952618395742,16573.95056725865,16042.084998893673,15703.865525816553
240,15951.37109721841,16570.625550922818,16377.617087253508,16116.299251195076
241,15777.376031365922,16497.77783552024,16144.62486934557,16045.983081907945
242,15987.897826753753,16589.993470305406,16638.995074112394,16273.480109380162
243,15623.814317800956,16780.332440140963,16530.084656692023,16284.725783974285
244,15609.789690171237,16338.093443128808,16737.64371998427,16488.55879788847
245,15955.130736068071,16713.70030027028,16274.391830354907,16038.384292084284
246,15615.018212583369,16652.260812513166,16256.449559653865,16035.085273683133
247,15765.148726361263,16637.796008581343,16735.914246386263,16528.91118065608
248,15734.650850017946,16833.064490095643,16333.747102125655,16021.55150615085
249,15671.465075457434,16626.45015209875,16504.616155223146,16376.182110228054
250,15796.514974569931,16901.62031856976,16214.024048115329,15931.229697221308
251,15439.46769605729,16965.190104418278,16077.764914611464,16124.276413872236
252,15604.495552070592,16187.160100836738,15655.022106807783,15434.160736253805
253,15695.394500228344,16626.181582899393,16279.24463526248,16224.260340347724
254,15486.821228662136,16707.207899747777,16619.332047358115,16404.05831511335
255,15565.13993653391,16690.130751232307,16570.525228180297,16248.647556868413
